instance,hour,price
$0.384 per On Demand Linux c5d.2xlarge,0.035,0.01
$0.384 per On Demand Linux m5.2xlarge,0.038,0.01
$0.384 per On Demand Linux m6i.2xlarge,0.042,0.02
$0.39078 per On Demand Linux r6idn.xlarge,0.042,0.02
$0.398 per On Demand Linux c4.2xlarge,0.033,0.01
$0.40 per On Demand Linux m4.2xlarge,0.033,0.01
$0.4032 per On Demand Linux c6id.2xlarge,0.047,0.02
$0.412 per On Demand Linux m5ad.2xlarge,0.033,0.01
$0.432 per On Demand Linux c5n.2xlarge,0.033,0.01
$0.452 per On Demand Linux i3en.xlarge,0.037,0.02
$0.452 per On Demand Linux m5d.2xlarge,0.037,0.02
$0.452 per On Demand Linux r5a.2xlarge,0.036,0.02
$0.4536 per On Demand Linux c6in.2xlarge,0.046,0.02
$0.4536 per On Demand Linux r6a.2xlarge,0.033,0.02
$0.468 per On Demand Linux h1.2xlarge,0.033,0.02
$0.4746 per On Demand Linux m6id.2xlarge,0.04,0.02
$0.476 per On Demand Linux m5n.2xlarge,0.046,0.02
$0.499 per On Demand Linux d3.xlarge,0.042,0.02
$0.504 per On Demand Linux r5.2xlarge,0.052,0.03
$0.504 per On Demand Linux r6i.2xlarge,0.039,0.02
$0.524 per On Demand Linux r5ad.2xlarge,0.043,0.02
$0.526 per On Demand Linux d3en.xlarge,0.033,0.02
$0.526 per On Demand Linux g4dn.xlarge,0.042,0.02
$0.532 per On Demand Linux r4.2xlarge,0.033,0.02
$0.54117 per On Demand Linux g4ad.2xlarge,0.049,0.03
$0.544 per On Demand Linux c6g.4xlarge,27.324,14.86
$0.544 per On Demand Linux m5dn.2xlarge,0.038,0.02
$0.55692 per On Demand Linux m6in.2xlarge,0.04,0.02
$0.576 per On Demand Linux r5d.2xlarge,0.037,0.02
$0.596 per On Demand Linux r5b.2xlarge,0.038,0.02
$0.596 per On Demand Linux r5n.2xlarge,0.045,0.03
$0.6048 per On Demand Linux r6id.2xlarge,0.034,0.02
$0.612 per On Demand Linux c6a.4xlarge,0.041,0.03
$0.6144 per On Demand Linux c6gd.4xlarge,1.048,0.64
$0.616 per On Demand Linux c5a.4xlarge,0.033,0.02
$0.624 per On Demand Linux i3.2xlarge,0.033,0.02
$0.63648 per On Demand Linux m6idn.2xlarge,0.044,0.03
$0.65 per On Demand Linux vt1.3xlarge,0.105,0.07
$0.6607 per On Demand Linux m5zn.2xlarge,0.033,0.02
$0.668 per On Demand Linux r5dn.2xlarge,0.049,0.03
$0.68 per On Demand Linux c5.4xlarge,0.034,0.02
$0.68 per On Demand Linux c6i.4xlarge,0.033,0.02
$0.686 per On Demand Linux i4i.2xlarge,0.033,0.02
$0.688 per On Demand Linux c5ad.4xlarge,0.038,0.03
$0.688 per On Demand Linux m5a.4xlarge,0.036,0.02
$0.69 per On Demand Linux d2.xlarge,0.033,0.02
$0.6912 per On Demand Linux m6a.4xlarge,0.04,0.03
$0.69732 per On Demand Linux r6in.2xlarge,0.033,0.02
$0.744 per On Demand Linux z1d.2xlarge,0.041,0.03
$0.75 per On Demand Linux g3s.xlarge,0.342,0.26
$0.752 per On Demand Linux g4dn.2xlarge,0.047,0.04
$0.768 per On Demand Linux c5d.4xlarge,0.033,0.03
$0.768 per On Demand Linux m5.4xlarge,0.043,0.03
$0.768 per On Demand Linux m6i.4xlarge,0.043,0.03
$0.78156 per On Demand Linux r6idn.2xlarge,0.048,0.04
$0.796 per On Demand Linux c4.4xlarge,0.033,0.03
$0.80 per On Demand Linux m4.4xlarge,0.033,0.03
$0.8064 per On Demand Linux c6id.4xlarge,0.043,0.03
$0.824 per On Demand Linux m5ad.4xlarge,0.045,0.04
$0.828 per On Demand Linux g5g.4xlarge,8.85,7.33
$0.83363 per On Demand Linux x2iedn.xlarge,0.044,0.04
$0.834 per On Demand Linux x1e.xlarge,0.033,0.03
$0.864 per On Demand Linux c5n.4xlarge,0.035,0.03
$0.867 per On Demand Linux g4ad.4xlarge,0.051,0.04
$0.9 per On Demand Linux p2.xlarge,0.348,0.31
$0.904 per On Demand Linux i3en.2xlarge,0.041,0.04
$0.904 per On Demand Linux m5d.4xlarge,0.048,0.04
$0.904 per On Demand Linux r5a.4xlarge,0.036,0.03
$0.9072 per On Demand Linux c6in.4xlarge,0.041,0.04
$0.9072 per On Demand Linux r6a.4xlarge,0.038,0.03
$0.936 per On Demand Linux h1.4xlarge,0.033,0.03
$0.9492 per On Demand Linux m6id.4xlarge,0.034,0.03
$0.952 per On Demand Linux m5n.4xlarge,0.052,0.05
$0.991 per On Demand Linux m5zn.3xlarge,0.045,0.04
$0.999 per On Demand Linux d3.2xlarge,0.051,0.05
$1.006 per On Demand Linux g5.xlarge,0.034,0.03
$1.008 per On Demand Linux r5.4xlarge,0.045,0.05
$1.008 per On Demand Linux r6i.4xlarge,0.039,0.04
$1.048 per On Demand Linux r5ad.4xlarge,0.05,0.05
$1.051 per On Demand Linux d3en.2xlarge,0.05,0.05
$1.064 per On Demand Linux r4.4xlarge,0.033,0.04
$1.088 per On Demand Linux m5dn.4xlarge,0.043,0.05
$1.11384 per On Demand Linux m6in.4xlarge,0.041,0.05
$1.116 per On Demand Linux z1d.3xlarge,0.043,0.05
$1.14 per On Demand Linux g3.4xlarge,0.34,0.39
$1.152 per On Demand Linux r5d.4xlarge,0.052,0.06
$1.18 per On Demand Linux inf1.6xlarge,0.034,0.04
$1.192 per On Demand Linux r5b.4xlarge,0.045,0.05
$1.192 per On Demand Linux r5n.4xlarge,0.034,0.04
$1.204 per On Demand Linux g4dn.4xlarge,0.038,0.05
$1.2096 per On Demand Linux r6id.4xlarge,0.033,0.04
$1.212 per On Demand Linux g5.2xlarge,0.048,0.06
$1.224 per On Demand Linux c6a.8xlarge,0.042,0.05
$1.232 per On Demand Linux c5a.8xlarge,0.043,0.05
$1.248 per On Demand Linux i3.4xlarge,0.033,0.04
