,Architecture,BogoMIPS,Byte Order,CPU MHz,CPU Platform,CPU family,CPU max MHz,CPU min MHz,CPU op-mode(s),CPU(s),CloudProvider,Core(s) per socket,Current Speed,Flags,Hypervisor vendor,InstanceCategory,InstanceType,L1d cache,L1i cache,L2 cache,L3 cache,Max Speed,Model,Model name,NUMA node(s),NUMA node0 CPU(s),NUMA node1 CPU(s),NUMA node10 CPU(s),NUMA node11 CPU(s),NUMA node2 CPU(s),NUMA node3 CPU(s),NUMA node4 CPU(s),NUMA node5 CPU(s),NUMA node6 CPU(s),NUMA node7 CPU(s),NUMA node8 CPU(s),NUMA node9 CPU(s),On-line CPU(s) list,Socket(s),Stepping,Thread(s) per core,Vendor ID,Virtualization,Virtualization type
1002,x86_64,4599.99,Little Endian,2299.998,Intel Haswell,6,,,"32-bit, 64-bit",64,GCP,32,,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm invpcid_single pti ssbd ibrs ibpb stibp fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid xsaveopt arat md_clear arch_capabilities,KVM,n1,n1-highmem-64,32K,32K,256K,46080K,,63,Intel(R) Xeon(R) CPU @ 2.30GHz,1,0-63,,,,,,,,,,,,0-63,1,0,2,GenuineIntel,,full
1003,x86_64,4599.99,Little Endian,2299.998,Intel Haswell,6,,,"32-bit, 64-bit",8,GCP,4,,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm invpcid_single pti ssbd ibrs ibpb stibp fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid xsaveopt arat md_clear arch_capabilities,KVM,n1,n1-highmem-8,32K,32K,256K,46080K,,63,Intel(R) Xeon(R) CPU @ 2.30GHz,1,0-7,,,,,,,,,,,,0-7,1,0,2,GenuineIntel,,full
1004,x86_64,4000.27,Little Endian,2000.138,Intel Skylake,6,,,"32-bit, 64-bit",96,GCP,24,,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti ssbd ibrs ibpb stibp fsgsbase tsc_adjust bmi1 hle avx2 smep bmi2 erms invpcid rtm mpx avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves arat md_clear arch_capabilities,KVM,n1,n1-highmem-96,32K,32K,1024K,39424K,,85,Intel(R) Xeon(R) CPU @ 2.00GHz,2,"0-23,48-71","24-47,72-95",,,,,,,,,,,0-95,2,3,2,GenuineIntel,,full
1005,x86_64,4000.36,Little Endian,2000.182,Intel Skylake,6,,,"32-bit, 64-bit",96,GCP,24,,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti ssbd ibrs ibpb stibp fsgsbase tsc_adjust bmi1 hle avx2 smep bmi2 erms invpcid rtm mpx avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves arat md_clear arch_capabilities,KVM,n1,n1-megamem-96,32K,32K,1024K,39424K,,85,Intel(R) Xeon(R) CPU @ 2.00GHz,2,"0-23,48-71","24-47,72-95",,,,,,,,,,,0-95,2,3,2,GenuineIntel,,full
1006,x86_64,4599.99,Little Endian,2299.998,Intel Haswell,6,,,"32-bit, 64-bit",1,GCP,1,,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm invpcid_single pti ssbd ibrs ibpb stibp fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid xsaveopt arat md_clear arch_capabilities,KVM,n1,n1-standard-1,32K,32K,256K,46080K,,63,Intel(R) Xeon(R) CPU @ 2.30GHz,1,0,,,,,,,,,,,,0,1,0,1,GenuineIntel,,full
1007,x86_64,4599.99,Little Endian,2299.998,Intel Haswell,6,,,"32-bit, 64-bit",16,GCP,8,,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm invpcid_single pti ssbd ibrs ibpb stibp fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid xsaveopt arat md_clear arch_capabilities,KVM,n1,n1-standard-16,32K,32K,256K,46080K,,63,Intel(R) Xeon(R) CPU @ 2.30GHz,1,0-15,,,,,,,,,,,,0-15,1,0,2,GenuineIntel,,full
1008,x86_64,4599.99,Little Endian,2299.998,Intel Haswell,6,,,"32-bit, 64-bit",2,GCP,1,,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm invpcid_single pti ssbd ibrs ibpb stibp fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid xsaveopt arat md_clear arch_capabilities,KVM,n1,n1-standard-2,32K,32K,256K,46080K,,63,Intel(R) Xeon(R) CPU @ 2.30GHz,1,"0,1",,,,,,,,,,,,"0,1",1,0,2,GenuineIntel,,full
1009,x86_64,4599.99,Little Endian,2299.998,Intel Haswell,6,,,"32-bit, 64-bit",32,GCP,16,,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm invpcid_single pti ssbd ibrs ibpb stibp fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid xsaveopt arat md_clear arch_capabilities,KVM,n1,n1-standard-32,32K,32K,256K,46080K,,63,Intel(R) Xeon(R) CPU @ 2.30GHz,1,0-31,,,,,,,,,,,,0-31,1,0,2,GenuineIntel,,full
1010,x86_64,4599.99,Little Endian,2299.998,Intel Haswell,6,,,"32-bit, 64-bit",4,GCP,2,,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm invpcid_single pti ssbd ibrs ibpb stibp fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid xsaveopt arat md_clear arch_capabilities,KVM,n1,n1-standard-4,32K,32K,256K,46080K,,63,Intel(R) Xeon(R) CPU @ 2.30GHz,1,0-3,,,,,,,,,,,,0-3,1,0,2,GenuineIntel,,full
1011,x86_64,4599.99,Little Endian,2299.998,Intel Haswell,6,,,"32-bit, 64-bit",64,GCP,32,,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm invpcid_single pti ssbd ibrs ibpb stibp fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid xsaveopt arat md_clear arch_capabilities,KVM,n1,n1-standard-64,32K,32K,256K,46080K,,63,Intel(R) Xeon(R) CPU @ 2.30GHz,1,0-63,,,,,,,,,,,,0-63,1,0,2,GenuineIntel,,full
1012,x86_64,4599.99,Little Endian,2299.998,Intel Haswell,6,,,"32-bit, 64-bit",8,GCP,4,,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm invpcid_single pti ssbd ibrs ibpb stibp fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid xsaveopt arat md_clear arch_capabilities,KVM,n1,n1-standard-8,32K,32K,256K,46080K,,63,Intel(R) Xeon(R) CPU @ 2.30GHz,1,0-7,,,,,,,,,,,,0-7,1,0,2,GenuineIntel,,full
1013,x86_64,3999.99,Little Endian,1999.999,Intel Skylake,6,,,"32-bit, 64-bit",96,GCP,24,,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti ssbd ibrs ibpb stibp fsgsbase tsc_adjust bmi1 hle avx2 smep bmi2 erms invpcid rtm mpx avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves arat md_clear arch_capabilities,KVM,n1,n1-standard-96,32K,32K,1024K,39424K,,85,Intel(R) Xeon(R) CPU @ 2.00GHz,2,"0-23,48-71","24-47,72-95",,,,,,,,,,,0-95,2,3,2,GenuineIntel,,full
1014,x86_64,4399.99,Little Endian,2199.998,Intel Broadwell,6,,,"32-bit, 64-bit",160,GCP,20,,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti ssbd ibrs ibpb stibp fsgsbase tsc_adjust bmi1 hle avx2 smep bmi2 erms invpcid rtm rdseed adx smap xsaveopt arat md_clear arch_capabilities,KVM,n1,n1-ultramem-160,32K,32K,256K,56320K,,79,Intel(R) Xeon(R) CPU @ 2.20GHz,4,"0-19,80-99","20-39,100-119",,,"40-59,120-139","60-79,140-159",,,,,,,0-159,4,0,2,GenuineIntel,,full
1015,x86_64,4399.99,Little Endian,2199.998,Intel Broadwell,6,,,"32-bit, 64-bit",40,GCP,20,,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti ssbd ibrs ibpb stibp fsgsbase tsc_adjust bmi1 hle avx2 smep bmi2 erms invpcid rtm rdseed adx smap xsaveopt arat md_clear arch_capabilities,KVM,n1,n1-ultramem-40,32K,32K,256K,56320K,,79,Intel(R) Xeon(R) CPU @ 2.20GHz,1,0-39,,,,,,,,,,,,0-39,1,0,2,GenuineIntel,,full
1016,x86_64,4400.00,Little Endian,2200.000,Intel Broadwell,6,,,"32-bit, 64-bit",80,GCP,20,,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti ssbd ibrs ibpb stibp fsgsbase tsc_adjust bmi1 hle avx2 smep bmi2 erms invpcid rtm rdseed adx smap xsaveopt arat md_clear arch_capabilities,KVM,n1,n1-ultramem-80,32K,32K,256K,56320K,,79,Intel(R) Xeon(R) CPU @ 2.20GHz,2,"0-19,40-59","20-39,60-79",,,,,,,,,,,0-79,2,0,2,GenuineIntel,,full
1017,x86_64,5600.41,Little Endian,2800.208,Intel Cascade Lake,6,,,"32-bit, 64-bit",16,GCP,8,,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single ssbd ibrs ibpb stibp ibrs_enhanced fsgsbase tsc_adjust bmi1 hle avx2 smep bmi2 erms invpcid rtm avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves arat avx512_vnni md_clear arch_capabilities,KVM,n2,n2-highcpu-16,32K,32K,1024K,33792K,,85,Intel(R) Xeon(R) CPU @ 2.80GHz,1,0-15,,,,,,,,,,,,0-15,1,7,2,GenuineIntel,,full
1018,x86_64,5600.52,Little Endian,2800.262,Intel Cascade Lake,6,,,"32-bit, 64-bit",2,GCP,1,,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single ssbd ibrs ibpb stibp ibrs_enhanced fsgsbase tsc_adjust bmi1 hle avx2 smep bmi2 erms invpcid rtm avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves arat avx512_vnni md_clear arch_capabilities,KVM,n2,n2-highcpu-2,32K,32K,1024K,33792K,,85,Intel(R) Xeon(R) CPU @ 2.80GHz,1,"0,1",,,,,,,,,,,,"0,1",1,7,2,GenuineIntel,,full
1019,x86_64,5600.33,Little Endian,2800.166,Intel Cascade Lake,6,,,"32-bit, 64-bit",32,GCP,8,,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single ssbd ibrs ibpb stibp ibrs_enhanced fsgsbase tsc_adjust bmi1 hle avx2 smep bmi2 erms invpcid rtm avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves arat avx512_vnni md_clear arch_capabilities,KVM,n2,n2-highcpu-32,32K,32K,1024K,33792K,,85,Intel(R) Xeon(R) CPU @ 2.80GHz,2,"0-7,16-23","8-15,24-31",,,,,,,,,,,0-31,2,7,2,GenuineIntel,,full
1020,x86_64,5600.39,Little Endian,2800.198,Intel Cascade Lake,6,,,"32-bit, 64-bit",4,GCP,2,,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single ssbd ibrs ibpb stibp ibrs_enhanced fsgsbase tsc_adjust bmi1 hle avx2 smep bmi2 erms invpcid rtm avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves arat avx512_vnni md_clear arch_capabilities,KVM,n2,n2-highcpu-4,32K,32K,1024K,33792K,,85,Intel(R) Xeon(R) CPU @ 2.80GHz,1,0-3,,,,,,,,,,,,0-3,1,7,2,GenuineIntel,,full
