,CloudProvider,Architecture,InstanceCategory,InstanceType,GCPCategory,AzureCategory,Coremark Score,Normalized Coremark,CPU(s),BogoMIPS,Byte Order,CPU MHz,CPU Platform,CPU family,CPU max MHz,CPU min MHz,Core(s) per socket,Current Speed,Flags,Hypervisor vendor,L1d cache,L1i cache,L2 cache,L3 cache,Max Speed,Model,Model name,NUMA node(s),NUMA node0 CPU(s),NUMA node1 CPU(s),NUMA node10 CPU(s),NUMA node11 CPU(s),NUMA node2 CPU(s),NUMA node3 CPU(s),NUMA node4 CPU(s),NUMA node5 CPU(s),NUMA node6 CPU(s),NUMA node7 CPU(s),NUMA node8 CPU(s),NUMA node9 CPU(s),On-line CPU(s) list,Socket(s),Stepping,Thread(s) per core,Vendor ID,Virtualization,Virtualization type,Memory(GiB),StdDev,StdDev%,#Runs,CPU Platform simple,CPU Platform Specific,Standard Deviation (%),Sample Count,CPU op-mode(s)_bit#1,CPU op-mode(s)_bit#2,AzureType,AzureVersion
,AWS,x86_64,m1,m1.large,0,_,20438.40376,1,2,3591.42,Little Endian,1795.57,0,6,0,0,2,1796,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ht syscall nx rdtscp lm constant_tsc rep_good nopl cpuid tsc_known_freq pni pclmulqdq ssse3 cx16 pcid sse4_1 sse4_2 x2apic popcnt tsc_deadline_timer aes rdrand hypervisor lahf_lm cpuid_fault pti fsgsbase smep erms,Xen,32,32,256,30720,1796,62,Intel(R) Xeon(R) CPU E5-2651 v2 @ 1.80GHz,1,"0,1",0,0,0,0,0,0,0,0,0,0,0,"0,1",1,4,1,GenuineIntel,0,full,0,0,0,0,0,0,0,0,32,64,,
,GCP,x86_64,e2,e2-medium,e2medium,_,14529,1,2,4399.99,Little Endian,2199.998,0,6,0,0,1,0,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti ssbd ibrs ibpb stibp fsgsbase tsc_adjust bmi1 hle avx2 smep bmi2 erms invpcid rtm rdseed adx smap xsaveopt arat md_clear arch_capabilities,KVM,32,32,256,56320,0,79,Intel(R) Xeon(R) CPU @ 2.20GHz,1,"0,1",0,0,0,0,0,0,0,0,0,0,0,"0,1",1,0,2,GenuineIntel,0,full,0,0,0,0,Broadwell,Intel Broadwell,6.35,18423,32,64,,
,GCP,x86_64,e2,e2-small,e2small,_,6745,1,2,4400.37,Little Endian,2200.188,0,6,0,0,1,0,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti ssbd ibrs ibpb stibp fsgsbase tsc_adjust bmi1 hle avx2 smep bmi2 erms invpcid rtm rdseed adx smap xsaveopt arat md_clear arch_capabilities,KVM,32,32,256,56320,0,79,Intel(R) Xeon(R) CPU @ 2.20GHz,1,"0,1",0,0,0,0,0,0,0,0,0,0,0,"0,1",1,0,2,GenuineIntel,0,full,0,0,0,0,Broadwell,Intel Broadwell,4.32,18614,32,64,,
,GCP,x86_64,e2,e2-micro,e2micro,_,3238,1,2,4399.99,Little Endian,2199.998,0,6,0,0,1,0,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology nonstop_tsc cpuid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti ssbd ibrs ibpb stibp fsgsbase tsc_adjust bmi1 hle avx2 smep bmi2 erms invpcid rtm rdseed adx smap xsaveopt arat md_clear arch_capabilities,KVM,32,32,256,56320,0,79,Intel(R) Xeon(R) CPU @ 2.20GHz,1,"0,1",0,0,0,0,0,0,0,0,0,0,0,"0,1",1,0,2,GenuineIntel,0,full,0,0,0,0,Broadwell,Intel Broadwell,3.57,18499,32,64,,
,AZURE,x86_64,Standard,Standard_D4s_v3,0,StandardDs_v3,50029,1.596228703,4,4190.15,Little Endian,2095.078,0,6,0,0,2,0,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology cpuid pni pclmulqdq vmx ssse3 fma cx16 pcid sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti tpr_shadow vnmi ept vpid fsgsbase bmi1 hle avx2 smep bmi2 erms invpcid rtm avx512f avx512dq rdseed adx smap clflushopt avx512cd avx512bw avx512vl xsaveopt xsavec xsaves md_clear,Microsoft,32,32,1024,36608,0,85,Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz,1,0-3,0,0,0,0,0,0,0,0,0,0,0,0-3,1,4,2,GenuineIntel,VT-x,full,16,"3,332",6.66%,91,0,0,0,0,32,64,StandardDs,v3
,AZURE,x86_64,Standard,Standard_E4d_v4,0,StandardEd_v4,65859,1.834461436,4,5187.8,Little Endian,2593.904,0,6,0,0,2,0,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology cpuid pni pclmulqdq vmx ssse3 fma cx16 pcid sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single tpr_shadow vnmi ept vpid ept_ad fsgsbase bmi1 hle avx2 smep bmi2 erms invpcid rtm avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx512_vnni arch_capabilities,Microsoft,32,32,1024,36608,0,85,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,1,0-3,0,0,0,0,0,0,0,0,0,0,0,0-3,1,7,2,GenuineIntel,VT-x,full,32,786,1.19%,189,0,0,0,0,32,64,StandardEd,v4
,AZURE,x86_64,Standard,Standard_E4_v4,0,StandardE_v4,65742,1.837343842,4,5187.81,Little Endian,2593.909,0,6,0,0,2,0,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology cpuid pni pclmulqdq vmx ssse3 fma cx16 pcid sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single tpr_shadow vnmi ept vpid ept_ad fsgsbase bmi1 hle avx2 smep bmi2 erms invpcid rtm avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx512_vnni arch_capabilities,Microsoft,32,32,1024,36608,0,85,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,1,0-3,0,0,0,0,0,0,0,0,0,0,0,0-3,1,7,2,GenuineIntel,VT-x,full,32,489,0.74%,175,0,0,0,0,32,64,StandardE,v4
,AZURE,x86_64,Standard,Standard_D4s_v4,0,StandardDs_v4,65910,1.841370062,4,5187.82,Little Endian,2593.911,0,6,0,0,2,0,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology cpuid pni pclmulqdq vmx ssse3 fma cx16 pcid sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single tpr_shadow vnmi ept vpid ept_ad fsgsbase bmi1 hle avx2 smep bmi2 erms invpcid rtm mpx avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx512_vnni md_clear arch_capabilities,Microsoft,32,32,1024,36608,0,85,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,1,0-3,0,0,0,0,0,0,0,0,0,0,0,0-3,1,7,2,GenuineIntel,VT-x,full,16,668,1.01%,182,0,0,0,0,32,64,StandardDs,v4
,AZURE,x86_64,Standard,Standard_F4s_v2,0,StandardFs_v2,65683,1.841975378,4,5187.81,Little Endian,2593.906,0,6,0,0,2,0,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology cpuid pni pclmulqdq vmx ssse3 fma cx16 pcid sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single pti tpr_shadow vnmi ept vpid fsgsbase bmi1 hle avx2 smep bmi2 erms invpcid rtm avx512f avx512dq rdseed adx smap clflushopt avx512cd avx512bw avx512vl xsaveopt xsavec xsaves md_clear,Microsoft,32,32,1024,36608,0,85,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,1,0-3,0,0,0,0,0,0,0,0,0,0,0,0-3,1,7,2,GenuineIntel,VT-x,full,8,459,0.70%,98,0,0,0,0,32,64,StandardFs,v2
,AZURE,x86_64,Standard,Standard_E4s_v4,0,StandardEs_v4,65919,1.843888112,4,5187.8,Little Endian,2593.904,0,6,0,0,2,0,fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc rep_good nopl xtopology cpuid pni pclmulqdq vmx ssse3 fma cx16 pcid sse4_1 sse4_2 movbe popcnt aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch invpcid_single tpr_shadow vnmi ept vpid ept_ad fsgsbase bmi1 hle avx2 smep bmi2 erms invpcid rtm avx512f avx512dq rdseed adx smap clflushopt clwb avx512cd avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx512_vnni arch_capabilities,Microsoft,32,32,1024,36608,0,85,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,1,0-3,0,0,0,0,0,0,0,0,0,0,0,0-3,1,7,2,GenuineIntel,VT-x,full,32,696,1.06%,182,0,0,0,0,32,64,StandardEs,v4
